Date,Tm,Opp,Quarter,Time,Down,Yards,Location,Score,Detail,Yds,EPB,EPA,Diff
2017-10-01,Jets,Jaguars,5,3:00,3,18,NYJ 12,20-20,Josh McCown pass complete short right to Bilal Powell for 13 yards (tackle by Dante Fowler),13,-2.360,-1.700,.66
2017-10-01,49ers,Cardinals,5,6:45,1,10,CRD 39,12-12,Carlos Hyde middle for 2 yards (tackle by Tyrann Mathieu),2,2.980,2.710,-0.27
2017-10-01,Jets,Jaguars,5,2:20,4,5,NYJ 25,20-20,Lac Edwards punts 70 yards returned by Marqise Lee for 5 yards (tackle by Julian Stanford). Penalty on Arrelious Benn: Illegal Block Above the Waist 2 yards,,-1.700,0.380,2.08
2017-10-01,49ers,Cardinals,5,6:10,2,8,CRD 37,12-12,Brian Hoyer pass complete short right to Matt Breida for 4 yards (tackle by Karlos Dansby),4,2.710,2.540,-0.17
2017-10-01,Jaguars,Jets,5,2:06,1,10,JAX 3,20-20,Leonard Fournette left guard for -1 yards (tackle by Darron Lee),-1,-0.380,-0.850,-0.47
2017-10-01,49ers,Cardinals,5,5:29,3,4,CRD 33,12-12,Kyle Juszczyk middle for 8 yards (tackle by Patrick Peterson and Tyvon Branch),8,2.540,3.910,1.37
2017-10-01,Jaguars,Jets,5,2:00,2,11,JAX 2,20-20,Leonard Fournette left guard for no gain (tackle by Jordan Jenkins),0,-0.850,0.000,.85
2017-10-01,49ers,Cardinals,5,4:49,1,10,CRD 25,12-12,Carlos Hyde middle for 1 yard (tackle by Josh Mauro),1,3.910,3.500,-0.41
2017-10-01,49ers,Cardinals,5,4:37,2,9,CRD 24,12-12,Brian Hoyer pass complete short right to Kyle Juszczyk for 7 yards (tackle by Tyvon Branch),7,3.500,3.850,.35
2017-10-01,Jaguars,Jets,5,1:55,3,11,JAX 2,20-20,Blake Bortles pass incomplete deep left intended for Marcedes Lewis,,-1.540,-2.490,-0.95
2017-10-01,49ers,Cardinals,5,3:52,3,2,CRD 17,12-12,Brian Hoyer pass complete short right to Carlos Hyde for 9 yards (tackle by Haason Reddick),9,3.850,5.370,1.52
2017-10-01,Jaguars,Jets,5,1:50,4,11,JAX 2,20-20,Brad Nortman punts 45 yards returned by Jeremy Kerley for 7 yards. Penalty on Paul Posluszny: Unsportsmanlike Conduct 15 yards,,-2.490,-3.910,-1.42
2017-10-01,49ers,Cardinals,5,3:12,1,8,CRD 8,12-12,Carlos Hyde middle for -4 yards (tackle by Tyvon Branch),-4,5.370,0.000,-5.37
2017-10-01,Jets,Jaguars,5,1:38,1,10,JAX 25,20-20,Bilal Powell left guard for 1 yard (tackle by Calais Campbell),1,3.910,0.000,-3.91
2017-10-01,49ers,Cardinals,5,3:07,2,12,CRD 12,12-12,Carlos Hyde middle for 7 yards (tackle by Tyvon Branch),7,3.860,4.260,.40
