2008-09-21,Buccaneers,Bears,5,,,0,CHI 30,24-24,Robbie Gould kicks off 70 yards returned by Michael Clayton for 23 yards (tackle by Trumaine McBride),23,0.000,0.480,.48,0.0,-1.6,1.7999999999999998,Buccaneers
2008-09-21,Giants,Bengals,5,,,0,CIN 30,23-23,Shayne Graham kicks off 70 yards touchback,,0.000,0.280,.28,8.0,5.6,9.7,Giants
2008-09-14,49ers,Seahawks,5,,,0,SEA 30,30-30,Olindo Mare kicks off 70 yards touchback,,0.000,0.280,.28,3.0,-0.10000000000000009,2.5000000000000004,49ers
2007-12-30,Jets,Chiefs,5,,,0,KAN 30,10-10,John Carney kicks off 61 yards returned by Leon Washington for 21 yards (tackle by Keyaron Fox),21,0.000,0.940,.94,0.0,-5.9,7.7,Jets
2007-12-23,Cardinals,Falcons,5,,,0,ATL 30,27-27,Michael Koenen kicks off 66 yards returned by Steve Breaston for 25 yards (tackle by Daren Stone),25,0.000,0.870,.87,4.0,6.699999999999999,-0.10000000000000053,Cardinals
2007-12-09,Chargers,Titans,5,,,0,OTI 30,17-17,Rob Bironas kicks off 78 yards touchback,,0.000,0.280,.28,1.0,0.6999999999999997,7.4,Chargers
2007-11-25,Bears,Broncos,5,,,0,DEN 30,34-34,Todd Sauerbrun kicks off 50 yards returned by Devin Hester for 4 yards (tackle by Domonique Foxworth),4,0.000,0.540,.54,0.0,3.5999999999999996,1.5999999999999999,Bears
2007-11-18,Jets,Steelers,5,,,0,PIT 30,16-16,Jeff Reed kicks off 51 yards returned by Leon Washington for 12 yards (tackle by James Harrison),12,0.000,1.000,1.00,-6.0,-8.3,-0.6000000000000001,Jets
2007-11-18,Browns,Ravens,5,,,0,RAV 30,30-30,Matt Stover kicks off 70 yards returned by Josh Cribbs for 41 yards,41,0.000,1.660,1.66,5.0,4.0,1.7000000000000002,Browns
2007-10-29,Packers,Broncos,5,,,0,DEN 30,13-13,Todd Sauerbrun kicks off 71 yards returned by Shaun Bodiford for 19 yards (tackle by Andre Hall),19,0.000,0.040,.04,6.0,9.5,3.5,Packers
2007-09-16,Broncos,Raiders,5,15:00,,0,RAI 30,20-20,Sebastian Janikowski kicks off 70 yards touchback,,0.000,0.280,.28,3.0,2.3,-0.2999999999999998,Broncos
2007-09-09,Redskins,Dolphins,5,,,0,MIA 30,13-13,Jay Feely kicks off 70 yards touchback,,0.000,0.280,.28,8.0,4.4,8.399999999999999,Redskins
