2013-12-01,Falcons,Bills,5,15:00,,0,ATL 35,31-31,Matthew Bosher kicks off 73 yards touchback,,0.000,-0.280,-0.28,-2
2013-11-24,Patriots,Broncos,5,15:00,,0,NWE 35,31-31,Stephen Gostkowski kicks off 65 yards touchback,,0.000,-0.280,-0.28,-1
2013-11-17,Bears,Ravens,5,15:00,,0,CHI 30,20-20,Robbie Gould kicks off 42 yards returned by Kyle Juszczyk for 8 yards (tackle by Craig Steltz),8,0.000,-1.330,-1.33,0
2013-11-03,Seahawks,Buccaneers,5,15:00,,0,SEA 35,24-24,Steven Hauschka kicks off 65 yards touchback,,0.000,-0.280,-0.28,9
2013-11-03,Redskins,Chargers,5,15:00,,0,SDG 35,24-24,Nick Novak kicks off no gain returned by Josh Morgan for 24 yards (tackle by Johnny Patrick),24,0.000,0.410,.41,-6
2013-10-20,Jets,Patriots,5,15:00,,0,NYJ 35,27-27,Nick Folk kicks off 65 yards returned by LeGarrette Blount for 22 yards (tackle by Jaiquawn Jarrett),22,0.000,-0.410,-0.41,-4
2013-09-29,Seahawks,Texans,5,15:00,,0,SEA 35,20-20,Steven Hauschka kicks off 74 yards touchback,,0.000,-0.280,-0.28,11
2013-09-15,Texans,Titans,5,15:00,,0,OTI 35,24-24,Rob Bironas kicks off no gain returned by Keshawn Martin for 26 yards (tackle by Daimion Stafford),26,0.000,0.410,.41,-5
2012-12-02,Seahawks,Bears,5,15:00,,0,CHI 35,17-17,Robbie Gould kicks off 65 yards touchback,,0.000,0.280,.28,1
2012-12-02,Rams,49ers,5,15:00,,0,SFO 35,13-13,David Akers kicks off 65 yards touchback,,0.000,0.280,.28,-4
2012-11-18,Texans,Jaguars,5,15:00,,0,JAX 35,34-34,Josh Scobee kicks off 72 yards touchback,,0.000,0.280,.28,10
2012-11-18,Cowboys,Browns,5,15:00,,0,CLE 35,20-20,Phil Dawson kicks off 65 yards touchback,,0.000,0.280,.28,3
2012-11-18,Buccaneers,Panthers,5,15:00,,0,CAR 35,21-21,Justin Medlock kicks off 65 yards touchback,,0.000,0.280,.28,0
2012-11-18,Texans,Jaguars,5,4:21,,0,JAX 35,37-37,Josh Scobee kicks off 72 yards touchback,,0.000,0.280,.28,10
2012-10-28,Colts,Titans,5,15:00,,0,OTI 35,13-13,Rob Bironas kicks off 65 yards touchback,,0.000,0.280,.28,5
2012-10-21,Patriots,Jets,5,15:00,,0,NYJ 35,26-26,Nick Folk kicks off 66 yards returned by Devin McCourty for 17 yards (tackle by Marcus Dowtin),17,0.000,-0.140,-0.14,6
2012-10-14,Bills,Cardinals,5,15:00,,0,CRD 35,16-16,Jay Feely kicks off 65 yards touchback,,0.000,0.280,.28,1
2012-09-30,Cardinals,Dolphins,5,15:00,,0,MIA 35,21-21,Dan Carpenter kicks off 72 yards returned by William Powell for 41 yards (tackle by Dan Carpenter),41,0.000,1.200,1.20,-2
2012-09-23,Chiefs,Saints,5,15:00,,0,NOR 35,24-24,Thomas Morstead kicks off 73 yards touchback,,0.000,0.280,.28,-5
2012-09-23,Titans,Lions,5,15:00,,0,DET 35,41-41,Jason Hanson kicks off 70 yards returned by Darius Reynaud for 25 yards (tackle by Ashlee Palmer),25,0.000,0.280,.28,2
2012-09-23,Jets,Dolphins,5,15:00,,0,MIA 35,20-20,Dan Carpenter kicks off 65 yards touchback,,0.000,0.280,.28,-1
2012-09-09,Vikings,Jaguars,5,15:00,,0,JAX 35,23-23,Josh Scobee kicks off 70 yards returned by Percy Harvin for 30 yards (tackle by William Middleton),30,0.000,0.610,.61,8
