Rk,Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,WinDiff,CombinedRating,OTToss
51,CHI,2015,2015-10-18,1:02,1:02,@,DET,6,6,Sun,L 34-37,OT,-1.0,-1.0000000000000002,Lions
52,CLE,2015,2015-10-18,1:02,1:02,,DEN,6,6,Sun,L 23-26,OT,-9.0,-11.899999999999999,Broncos
53,DEN,2015,2015-10-18,1:02,1:02,@,CLE,6,6,Sun,W 26-23,OT,9.0,11.899999999999999,Broncos
54,DET,2015,2015-10-18,1:02,1:02,,CHI,6,6,Sun,W 37-34,OT,1.0,1.0000000000000002,Lions
55,ATL,2015,2015-10-11,1:02,1:02,,WAS,5,5,Sun,W 25-19,OT,-1.0,-1.7000000000000002,Redskins
56,CIN,2015,2015-10-11,1:03,1:03,,SEA,5,5,Sun,W 27-24,OT,2.0,-0.8000000000000007,Seahawks
57,CLE,2015,2015-10-11,1:02,1:02,@,BAL,5,5,Sun,W 33-30,OT,-2.0,-4.2,Ravens
58,BAL,2015,2015-10-11,1:02,1:02,,CLE,5,5,Sun,L 30-33,OT,2.0,4.2,Ravens
59,SEA,2015,2015-10-11,1:03,1:03,@,CIN,5,5,Sun,L 24-27,OT,-2.0,0.8000000000000007,Seahawks
60,WAS,2015,2015-10-11,1:02,1:02,@,ATL,5,5,Sun,L 19-25,OT,1.0,1.7000000000000002,Redskins
61,IND,2015,2015-10-04,1:02,1:02,,JAX,4,4,Sun,W 16-13,OT,3.0,0.8999999999999999,Jaguars
62,DAL,2015,2015-10-04,8:30,7:30,@,NOR,4,4,Sun,L 20-26,OT,-3.0,-0.40000000000000036,Saints
63,JAX,2015,2015-10-04,1:02,1:02,@,IND,4,4,Sun,L 13-16,OT,-3.0,-0.8999999999999999,Jaguars
64,NOR,2015,2015-10-04,8:30,7:30,,DAL,4,4,Sun,W 26-20,OT,3.0,0.40000000000000036,Saints
65,PIT,2015,2015-10-01,8:26,8:26,,BAL,4,4,Thu,L 20-23,OT,5.0,10.6,Steelers
66,BAL,2015,2015-10-01,8:26,8:26,@,PIT,4,4,Thu,W 23-20,OT,-5.0,-10.6,Steelers
67,STL,2015,2015-09-13,1:00,12:00,,SEA,1,1,Sun,W 34-31,OT,-3.0,-11.600000000000001,Rams
68,SEA,2015,2015-09-13,1:00,12:00,@,STL,1,1,Sun,L 31-34,OT,3.0,11.600000000000001,Rams
69,SDG,2014,2014-12-20,8:26,5:26,@,SFO,16,15,Sat,W 38-35,OT,1.0,2.8,49ers
70,SFO,2014,2014-12-20,8:26,5:26,,SDG,16,15,Sat,L 35-38,OT,-1.0,-2.8,49ers
71,MIN,2014,2014-12-07,1:02,12:02,,NYJ,14,13,Sun,W 30-24,OT,3.0,3.3,Jets
72,NYJ,2014,2014-12-07,1:02,12:02,@,MIN,14,13,Sun,L 24-30,OT,-3.0,-3.3,Jets
73,NOR,2014,2014-11-09,1:03,12:03,,SFO,10,9,Sun,L 24-27,OT,-1.0,-2.0,Saints
74,SFO,2014,2014-11-09,1:03,12:03,@,NOR,10,9,Sun,W 27-24,OT,1.0,2.0,Saints
75,DAL,2014,2014-10-27,8:30,7:30,,WAS,8,8,Mon,L 17-20,OT,8.0,14.1,Redskins
76,WAS,2014,2014-10-27,8:30,7:30,@,DAL,8,8,Mon,W 20-17,OT,-8.0,-14.1,Redskins
77,MIN,2014,2014-10-26,1:03,1:03,@,TAM,8,8,Sun,W 19-13,OT,5.0,8.1,Buccaneers
