Rk,Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT
69,MIA,2009,2009-12-20,1:02,12:02,@,TEN,15,14,Sun,L 24-27,OT
70,TEN,2009,2009-12-20,1:02,12:02,,MIA,15,14,Sun,W 27-24,OT
71,NOR,2009,2009-12-06,1:03,1:03,@,WAS,13,12,Sun,W 33-30,OT
72,WAS,2009,2009-12-06,1:03,1:03,,NOR,13,12,Sun,L 30-33,OT
73,PIT,2009,2009-11-29,8:30,8:30,@,BAL,12,11,Sun,L 17-20,OT
74,BAL,2009,2009-11-29,8:30,8:30,,PIT,12,11,Sun,W 20-17,OT
75,ATL,2009,2009-11-22,1:03,1:03,@,NYG,11,10,Sun,L 31-34,OT
76,KAN,2009,2009-11-22,1:00,12:00,,PIT,11,10,Sun,W 27-24,OT
77,NYG,2009,2009-11-22,1:03,1:03,,ATL,11,10,Sun,W 34-31,OT
78,PIT,2009,2009-11-22,1:00,12:00,@,KAN,11,10,Sun,L 24-27,OT
79,BUF,2009,2009-10-18,4:15,4:15,@,NYJ,6,6,Sun,W 16-13,OT
80,JAX,2009,2009-10-18,1:03,1:03,,STL,6,6,Sun,W 23-20,OT
81,NYJ,2009,2009-10-18,4:15,4:15,,BUF,6,6,Sun,L 13-16,OT
82,STL,2009,2009-10-18,1:03,1:03,@,JAX,6,6,Sun,L 20-23,OT
83,DAL,2009,2009-10-11,1:00,12:00,@,KAN,5,5,Sun,W 26-20,OT
84,DEN,2009,2009-10-11,4:16,2:16,,NWE,5,5,Sun,W 20-17,OT
85,KAN,2009,2009-10-11,1:00,12:00,,DAL,5,5,Sun,L 20-26,OT
86,NWE,2009,2009-10-11,4:16,2:16,@,DEN,5,5,Sun,L 17-20,OT
87,CIN,2009,2009-10-04,1:03,1:03,@,CLE,4,4,Sun,W 23-20,OT
88,CLE,2009,2009-10-04,1:03,1:03,,CIN,4,4,Sun,L 20-23,OT
89,TEN,2009,2009-09-10,8:41,8:41,@,PIT,1,1,Thu,L 10-13,OT
90,PIT,2009,2009-09-10,8:41,8:41,,TEN,1,1,Thu,W 13-10,OT
91,CHI,2008,2008-12-22,8:40,7:40,,GNB,16,15,Mon,W 20-17,OT
92,GNB,2008,2008-12-22,8:40,7:40,@,CHI,16,15,Mon,L 17-20,OT
93,CAR,2008,2008-12-21,8:23,8:23,@,NYG,16,15,Sun,L 28-34,OT
94,NYG,2008,2008-12-21,8:23,8:23,,CAR,16,15,Sun,W 34-28,OT
95,ATL,2008,2008-12-14,1:03,1:03,,TAM,15,14,Sun,W 13-10,OT
96,TAM,2008,2008-12-14,1:03,1:03,@,ATL,15,14,Sun,L 10-13,OT
97,CHI,2008,2008-12-11,8:14,7:14,,NOR,15,14,Thu,W 27-24,OT
98,NOR,2008,2008-12-11,8:14,7:14,@,CHI,15,14,Thu,L 24-27,OT
99,CIN,2008,2008-11-16,1:03,1:03,,PHI,11,10,Sun,T 13-13,OT
100,PHI,2008,2008-11-16,1:03,1:03,@,CIN,11,10,Sun,T 13-13,OT
101,NWE,2008,2008-11-13,8:15,8:15,,NYJ,11,10,Thu,L 31-34,OT
102,NYJ,2008,2008-11-13,8:15,8:15,@,NWE,11,10,Thu,W 34-31,OT
103,GNB,2008,2008-11-02,1:02,12:02,@,TEN,9,8,Sun,L 16-19,OT
104,KAN,2008,2008-11-02,1:03,12:03,,TAM,9,8,Sun,L 27-30,OT
105,TEN,2008,2008-11-02,1:02,12:02,,GNB,9,8,Sun,W 19-16,OT
106,TAM,2008,2008-11-02,1:03,12:03,@,KAN,9,9,Sun,W 30-27,OT
107,NYJ,2008,2008-10-19,4:15,1:15,@,OAK,7,6,Sun,L 13-16,OT
108,OAK,2008,2008-10-19,4:15,1:15,,NYJ,7,6,Sun,W 16-13,OT
109,ARI,2008,2008-10-12,4:15,1:15,,DAL,6,6,Sun,W 30-24,OT
110,DAL,2008,2008-10-12,4:15,1:15,@,ARI,6,6,Sun,L 24-30,OT
111,PIT,2008,2008-09-29,8:40,8:40,,BAL,4,4,Mon,W 23-20,OT
112,BAL,2008,2008-09-29,8:40,8:40,@,PIT,4,3,Mon,L 20-23,OT
113,HOU,2008,2008-09-28,1:02,1:02,@,JAX,4,3,Sun,L 27-30,OT
114,JAX,2008,2008-09-28,1:02,1:02,,HOU,4,4,Sun,W 30-27,OT
115,CHI,2008,2008-09-21,1:02,12:02,,TAM,3,3,Sun,L 24-27,OT
116,CIN,2008,2008-09-21,1:02,1:02,@,NYG,3,3,Sun,L 23-26,OT
117,NYG,2008,2008-09-21,1:02,1:02,,CIN,3,3,Sun,W 26-23,OT
118,TAM,2008,2008-09-21,1:02,12:02,@,CHI,3,3,Sun,W 27-24,OT
119,SEA,2008,2008-09-14,4:06,1:06,,SFO,2,2,Sun,L 30-33,OT
120,SFO,2008,2008-09-14,4:06,1:06,@,SEA,2,2,Sun,W 33-30,OT
121,DEN,2007,2007-12-30,4:16,2:16,,MIN,17,16,Sun,W 22-19,OT
122,KAN,2007,2007-12-30,4:15,4:15,@,NYJ,17,16,Sun,L 10-13,OT
123,MIN,2007,2007-12-30,4:16,2:16,@,DEN,17,16,Sun,L 19-22,OT
124,NYJ,2007,2007-12-30,4:15,4:15,,KAN,17,16,Sun,W 13-10,OT
125,ATL,2007,2007-12-23,4:05,2:05,@,ARI,16,15,Sun,L 27-30,OT
126,ARI,2007,2007-12-23,4:05,2:05,,ATL,16,15,Sun,W 30-27,OT
127,MIA,2007,2007-12-16,1:03,1:03,,BAL,15,14,Sun,W 22-16,OT
128,BAL,2007,2007-12-16,1:03,1:03,@,MIA,15,14,Sun,L 16-22,OT
129,TEN,2007,2007-12-09,1:02,12:02,,SDG,14,13,Sun,L 17-23,OT
130,SDG,2007,2007-12-09,1:02,12:02,@,TEN,14,13,Sun,W 23-17,OT
131,CHI,2007,2007-11-25,4:16,3:16,,DEN,12,11,Sun,W 37-34,OT
132,ARI,2007,2007-11-25,4:06,2:06,,SFO,12,11,Sun,L 31-37,OT
133,DEN,2007,2007-11-25,4:16,3:16,@,CHI,12,11,Sun,L 34-37,OT
134,SFO,2007,2007-11-25,4:06,2:06,@,ARI,12,11,Sun,W 37-31,OT
135,CLE,2007,2007-11-18,1:02,1:02,@,BAL,11,10,Sun,W 33-30,OT
136,NYJ,2007,2007-11-18,4:05,4:05,,PIT,11,10,Sun,W 19-16,OT
137,PIT,2007,2007-11-18,4:05,4:05,@,NYJ,11,10,Sun,L 16-19,OT
138,BAL,2007,2007-11-18,1:02,1:02,,CLE,11,10,Sun,L 30-33,OT
139,CLE,2007,2007-11-04,4:06,4:06,,SEA,9,8,Sun,W 33-30,OT
