Rk,Tm,Year,Date,Time,LTime,At Symbol,Opp,Week,G#,Day,Result
72,Jets,2014,12/7/14,1:02,12:02,@,Vikings,14,13,Sun,L 24-30
73,Saints,2014,11/9/14,1:03,12:03,,49ers,10,9,Sun,L 24-27
74,49ers,2014,11/9/14,1:03,12:03,@,Saints,10,9,Sun,W 27-24
75,Cowboys,2014,10/27/14,8:30,7:30,,Redskins,8,8,Mon,L 17-20
76,Redskins,2014,10/27/14,8:30,7:30,@,Cowboys,8,8,Mon,W 20-17
77,Vikings,2014,10/26/14,1:03,1:03,@,Buccaneers,8,8,Sun,W 19-13
78,Buccaneers,2014,10/26/14,1:03,1:03,,Vikings,8,7,Sun,L 13-19
79,Panthers,2014,10/12/14,1:03,1:03,@,Bengals,6,6,Sun,T 37-37
80,Bengals,2014,10/12/14,1:03,1:03,,Panthers,6,5,Sun,T 37-37
81,Cowboys,2014,10/5/14,1:03,12:03,,Texans,5,5,Sun,W 20-17
82,Texans,2014,10/5/14,1:03,12:03,@,Cowboys,5,5,Sun,L 17-20
83,Saints,2014,10/5/14,1:03,12:03,,Buccaneers,5,5,Sun,W 37-31
84,Buccaneers,2014,10/5/14,1:03,12:03,@,Saints,5,5,Sun,L 31-37
85,Broncos,2014,9/21/14,4:25,1:25,@,Seahawks,3,3,Sun,L 20-26
86,Seahawks,2014,9/21/14,4:25,1:25,,Broncos,3,3,Sun,W 26-20
87,Falcons,2014,9/7/14,1:03,1:03,,Saints,1,1,Sun,W 37-34
88,Bills,2014,9/7/14,1:00,12:00,@,Bears,1,1,Sun,W 23-20
89,Bears,2014,9/7/14,1:00,12:00,,Bills,1,1,Sun,L 20-23
90,Saints,2014,9/7/14,1:03,1:03,@,Falcons,1,1,Sun,L 34-37
91,Chiefs,2013,12/29/13,4:26,1:26,@,Chargers,17,16,Sun,L 24-27
92,Chargers,2013,12/29/13,4:26,1:26,,Chiefs,17,16,Sun,W 27-24
93,Lions,2013,12/22/13,4:05,4:05,,Giants,16,15,Sun,L 20-23
94,Giants,2013,12/22/13,4:05,4:05,@,Lions,16,15,Sun,W 23-20
95,Cardinals,2013,12/15/13,4:27,3:27,@,Titans,15,14,Sun,W 37-34
96,Titans,2013,12/15/13,4:27,3:27,,Cardinals,15,14,Sun,L 34-37
97,Falcons,2013,12/1/13,4:05,4:05,@,Bills,13,12,Sun,W 34-31
98,Bills,2013,12/1/13,4:05,4:05,,Falcons,13,12,Sun,L 31-34
99,Bears,2013,12/1/13,1:05,12:05,@,Vikings,13,12,Sun,L 20-23
100,Vikings,2013,12/1/13,1:05,12:05,,Bears,13,12,Sun,W 23-20
101,Broncos,2013,11/24/13,8:30,8:30,@,Patriots,12,11,Sun,L 31-34
102,Packers,2013,11/24/13,1:02,12:02,,Vikings,12,11,Sun,T 26-26
103,Vikings,2013,11/24/13,1:02,12:02,@,Packers,12,11,Sun,T 26-26
104,Patriots,2013,11/24/13,8:30,8:30,,Broncos,12,11,Sun,W 34-31
105,Bears,2013,11/17/13,1:02,12:02,,Ravens,11,10,Sun,W 23-20
106,Ravens,2013,11/17/13,1:02,12:02,@,Bears,11,10,Sun,L 20-23
107,Bengals,2013,11/10/13,1:02,1:02,@,Ravens,10,10,Sun,L 17-20
108,Ravens,2013,11/10/13,1:02,1:02,,Bengals,10,9,Sun,W 20-17
109,Chargers,2013,11/3/13,1:03,1:03,@,Redskins,9,8,Sun,L 24-30
110,Seahawks,2013,11/3/13,4:05,1:05,,Buccaneers,9,9,Sun,W 27-24
111,Buccaneers,2013,11/3/13,4:05,1:05,@,Seahawks,9,8,Sun,L 24-27
112,Redskins,2013,11/3/13,1:03,1:03,,Chargers,9,8,Sun,W 30-24
113,Bengals,2013,10/31/13,8:29,8:29,@,Dolphins,9,9,Thu,L 20-22
114,Dolphins,2013,10/31/13,8:29,8:29,,Bengals,9,8,Thu,W 22-20
115,Patriots,2013,10/20/13,1:03,1:03,@,Jets,7,7,Sun,L 27-30
116,Jets,2013,10/20/13,1:03,1:03,,Patriots,7,7,Sun,W 30-27
117,Bills,2013,10/13/13,1:02,1:02,,Bengals,6,6,Sun,L 24-27
118,Bengals,2013,10/13/13,1:02,1:02,@,Bills,6,6,Sun,W 27-24
119,Texans,2013,9/29/13,1:03,12:03,,Seahawks,4,4,Sun,L 20-23
120,Seahawks,2013,9/29/13,1:03,12:03,@,Texans,4,4,Sun,W 23-20
121,Texans,2013,9/15/13,1:03,12:03,,Titans,2,2,Sun,W 30-24
122,Titans,2013,9/15/13,1:03,12:03,@,Texans,2,2,Sun,L 24-30
123,Cowboys,2012,12/23/12,1:02,12:02,,Saints,16,15,Sun,L 31-34
124,Saints,2012,12/23/12,1:02,12:02,@,Cowboys,16,15,Sun,W 34-31
125,Cowboys,2012,12/16/12,4:25,3:25,,Steelers,15,14,Sun,W 27-24
126,Steelers,2012,12/16/12,4:25,3:25,@,Cowboys,15,14,Sun,L 24-27
127,Ravens,2012,12/9/12,1:03,1:03,@,Redskins,14,13,Sun,L 28-31
128,Redskins,2012,12/9/12,1:03,1:03,,Ravens,14,13,Sun,W 31-28
129,Bears,2012,12/2/12,1:03,12:03,,Seahawks,13,12,Sun,L 17-23
130,Rams,2012,12/2/12,1:00,12:00,,49ers,13,12,Sun,W 16-13
131,Seahawks,2012,12/2/12,1:03,12:03,@,Bears,13,12,Sun,W 23-17
132,49ers,2012,12/2/12,1:00,12:00,@,Rams,13,12,Sun,L 13-16
133,Ravens,2012,11/25/12,4:05,1:05,@,Chargers,12,11,Sun,W 16-13
134,Chargers,2012,11/25/12,4:05,1:05,,Ravens,12,11,Sun,L 13-16
135,Lions,2012,11/22/12,12:39,12:39,,Texans,12,11,Thu,L 31-34
136,Texans,2012,11/22/12,12:39,12:39,@,Lions,12,11,Thu,W 34-31
137,Panthers,2012,11/18/12,1:04,1:04,,Buccaneers,11,10,Sun,L 21-27
138,Browns,2012,11/18/12,1:04,12:04,@,Cowboys,11,10,Sun,L 20-23
139,Cowboys,2012,11/18/12,1:04,12:04,,Browns,11,10,Sun,W 23-20
140,Texans,2012,11/18/12,1:03,12:03,,Jaguars,11,10,Sun,W 43-37
141,Jaguars,2012,11/18/12,1:03,12:03,@,Texans,11,10,Sun,L 37-43
142,Buccaneers,2012,11/18/12,1:04,1:04,@,Panthers,11,10,Sun,W 27-21
143,Chiefs,2012,11/12/12,8:40,8:40,@,Steelers,10,9,Mon,L 13-16
144,Steelers,2012,11/12/12,8:40,8:40,,Chiefs,10,9,Mon,W 16-13
145,Rams,2012,11/11/12,4:25,1:25,@,49ers,10,9,Sun,T 24-24
146,49ers,2012,11/11/12,4:25,1:25,,Rams,10,9,Sun,T 24-24
147,Colts,2012,10/28/12,1:06,12:06,@,Titans,8,7,Sun,W 19-13
148,Titans,2012,10/28/12,1:06,12:06,,Colts,8,8,Sun,L 13-19
149,Jaguars,2012,10/21/12,4:25,1:25,@,Raiders,7,6,Sun,L 23-26
150,Patriots,2012,10/21/12,4:25,4:25,,Jets,7,7,Sun,W 29-26
151,Jets,2012,10/21/12,4:25,4:25,@,Patriots,7,7,Sun,L 26-29
152,Raiders,2012,10/21/12,4:25,1:25,,Jaguars,7,6,Sun,W 26-23
153,Bills,2012,10/14/12,4:05,1:05,@,Cardinals,6,6,Sun,W 19-16
154,Cardinals,2012,10/14/12,4:05,1:05,,Bills,6,6,Sun,L 16-19
155,Lions,2012,10/14/12,1:03,1:03,@,Eagles,6,5,Sun,W 26-23
156,Eagles,2012,10/14/12,1:03,1:03,,Lions,6,6,Sun,L 23-26
157,Cardinals,2012,9/30/12,4:05,1:05,,Dolphins,4,4,Sun,W 24-21
158,Dolphins,2012,9/30/12,4:05,1:05,@,Cardinals,4,4,Sun,L 21-24
159,Lions,2012,9/23/12,1:03,12:03,@,Titans,3,3,Sun,L 41-44
160,Chiefs,2012,9/23/12,1:02,12:02,@,Saints,3,3,Sun,W 27-24
161,Dolphins,2012,9/23/12,1:03,1:03,,Jets,3,3,Sun,L 20-23
162,Saints,2012,9/23/12,1:02,12:02,,Chiefs,3,3,Sun,L 24-27
163,Jets,2012,9/23/12,1:03,1:03,@,Dolphins,3,3,Sun,W 23-20
164,Titans,2012,9/23/12,1:03,12:03,,Lions,3,3,Sun,W 44-41
165,Jaguars,2012,9/9/12,1:05,12:05,@,Vikings,1,1,Sun,L 23-26
166,Vikings,2012,9/9/12,1:05,12:05,,Jaguars,1,1,Sun,W 26-23
