Rk,Tm,Year,Date,Time,LTime,At.Symbol,Opp,Week,G#,Day,Result,OT
67,Saints,2009,12/27/09,1:03,12:03,,Buccaneers,16,15,Sun,L 17-20,OT
68,Buccaneers,2009,12/27/09,1:03,12:03,@,Saints,16,15,Sun,W 20-17,OT
69,Dolphins,2009,12/20/09,1:02,12:02,@,Titans,15,14,Sun,L 24-27,OT
70,Titans,2009,12/20/09,1:02,12:02,,Dolphins,15,14,Sun,W 27-24,OT
71,Saints,2009,12/6/09,1:03,1:03,@,Redskins,13,12,Sun,W 33-30,OT
72,Redskins,2009,12/6/09,1:03,1:03,,Saints,13,12,Sun,L 30-33,OT
73,Steelers,2009,11/29/09,8:30,8:30,@,Ravens,12,11,Sun,L 17-20,OT
74,Ravens,2009,11/29/09,8:30,8:30,,Steelers,12,11,Sun,W 20-17,OT
75,Falcons,2009,11/22/09,1:03,1:03,@,Giants,11,10,Sun,L 31-34,OT
76,Chiefs,2009,11/22/09,1:00,12:00,,Steelers,11,10,Sun,W 27-24,OT
77,Giants,2009,11/22/09,1:03,1:03,,Falcons,11,10,Sun,W 34-31,OT
78,Steelers,2009,11/22/09,1:00,12:00,@,Chiefs,11,10,Sun,L 24-27,OT
79,Bills,2009,10/18/09,4:15,4:15,@,Jets,6,6,Sun,W 16-13,OT
80,Jaguars,2009,10/18/09,1:03,1:03,,Rams,6,6,Sun,W 23-20,OT
81,Jets,2009,10/18/09,4:15,4:15,,Bills,6,6,Sun,L 13-16,OT
82,Rams,2009,10/18/09,1:03,1:03,@,Jaguars,6,6,Sun,L 20-23,OT
83,Cowboys,2009,10/11/09,1:00,12:00,@,Chiefs,5,5,Sun,W 26-20,OT
84,Broncos,2009,10/11/09,4:16,2:16,,Patriots,5,5,Sun,W 20-17,OT
85,Chiefs,2009,10/11/09,1:00,12:00,,Cowboys,5,5,Sun,L 20-26,OT
86,Patriots,2009,10/11/09,4:16,2:16,@,Broncos,5,5,Sun,L 17-20,OT
87,Bengals,2009,10/4/09,1:03,1:03,@,Browns,4,4,Sun,W 23-20,OT
88,Browns,2009,10/4/09,1:03,1:03,,Bengals,4,4,Sun,L 20-23,OT
89,Titans,2009,9/10/09,8:41,8:41,@,Steelers,1,1,Thu,L 10-13,OT
90,Steelers,2009,9/10/09,8:41,8:41,,Titans,1,1,Thu,W 13-10,OT
91,Bears,2008,12/22/08,8:40,7:40,,Packers,16,15,Mon,W 20-17,OT
92,Packers,2008,12/22/08,8:40,7:40,@,Bears,16,15,Mon,L 17-20,OT
93,Panthers,2008,12/21/08,8:23,8:23,@,Giants,16,15,Sun,L 28-34,OT
94,Giants,2008,12/21/08,8:23,8:23,,Panthers,16,15,Sun,W 34-28,OT
95,Falcons,2008,12/14/08,1:03,1:03,,Buccaneers,15,14,Sun,W 13-10,OT
96,Buccaneers,2008,12/14/08,1:03,1:03,@,Falcons,15,14,Sun,L 10-13,OT
97,Bears,2008,12/11/08,8:14,7:14,,Saints,15,14,Thu,W 27-24,OT
98,Saints,2008,12/11/08,8:14,7:14,@,Bears,15,14,Thu,L 24-27,OT
99,Bengals,2008,11/16/08,1:03,1:03,,Eagles,11,10,Sun,T 13-13,OT
100,Eagles,2008,11/16/08,1:03,1:03,@,Bengals,11,10,Sun,T 13-13,OT
101,Patriots,2008,11/13/08,8:15,8:15,,Jets,11,10,Thu,L 31-34,OT
102,Jets,2008,11/13/08,8:15,8:15,@,Patriots,11,10,Thu,W 34-31,OT
103,Packers,2008,11/2/08,1:02,12:02,@,Titans,9,8,Sun,L 16-19,OT
104,Chiefs,2008,11/2/08,1:03,12:03,,Buccaneers,9,8,Sun,L 27-30,OT
105,Titans,2008,11/2/08,1:02,12:02,,Packers,9,8,Sun,W 19-16,OT
106,Buccaneers,2008,11/2/08,1:03,12:03,@,Chiefs,9,9,Sun,W 30-27,OT
107,Jets,2008,10/19/08,4:15,1:15,@,Raiders,7,6,Sun,L 13-16,OT
108,Raiders,2008,10/19/08,4:15,1:15,,Jets,7,6,Sun,W 16-13,OT
109,Cardinals,2008,10/12/08,4:15,1:15,,Cowboys,6,6,Sun,W 30-24,OT
110,Cowboys,2008,10/12/08,4:15,1:15,@,Cardinals,6,6,Sun,L 24-30,OT
111,Steelers,2008,9/29/08,8:40,8:40,,Ravens,4,4,Mon,W 23-20,OT
112,Ravens,2008,9/29/08,8:40,8:40,@,Steelers,4,3,Mon,L 20-23,OT
113,Texans,2008,9/28/08,1:02,1:02,@,Jaguars,4,3,Sun,L 27-30,OT
114,Jaguars,2008,9/28/08,1:02,1:02,,Texans,4,4,Sun,W 30-27,OT
115,Bears,2008,9/21/08,1:02,12:02,,Buccaneers,3,3,Sun,L 24-27,OT
116,Bengals,2008,9/21/08,1:02,1:02,@,Giants,3,3,Sun,L 23-26,OT
117,Giants,2008,9/21/08,1:02,1:02,,Bengals,3,3,Sun,W 26-23,OT
118,Buccaneers,2008,9/21/08,1:02,12:02,@,Bears,3,3,Sun,W 27-24,OT
119,Seahawks,2008,9/14/08,4:06,1:06,,49ers,2,2,Sun,L 30-33,OT
120,49ers,2008,9/14/08,4:06,1:06,@,Seahawks,2,2,Sun,W 33-30,OT
121,Broncos,2007,12/30/07,4:16,2:16,,Vikings,17,16,Sun,W 22-19,OT
122,Chiefs,2007,12/30/07,4:15,4:15,@,Jets,17,16,Sun,L 10-13,OT
123,Vikings,2007,12/30/07,4:16,2:16,@,Broncos,17,16,Sun,L 19-22,OT
124,Jets,2007,12/30/07,4:15,4:15,,Chiefs,17,16,Sun,W 13-10,OT
125,Falcons,2007,12/23/07,4:05,2:05,@,Cardinals,16,15,Sun,L 27-30,OT
126,Cardinals,2007,12/23/07,4:05,2:05,,Falcons,16,15,Sun,W 30-27,OT
127,Dolphins,2007,12/16/07,1:03,1:03,,Ravens,15,14,Sun,W 22-16,OT
128,Ravens,2007,12/16/07,1:03,1:03,@,Dolphins,15,14,Sun,L 16-22,OT
129,Titans,2007,12/9/07,1:02,12:02,,Chargers,14,13,Sun,L 17-23,OT
130,Chargers,2007,12/9/07,1:02,12:02,@,Titans,14,13,Sun,W 23-17,OT
131,Bears,2007,11/25/07,4:16,3:16,,Broncos,12,11,Sun,W 37-34,OT
132,Cardinals,2007,11/25/07,4:06,2:06,,49ers,12,11,Sun,L 31-37,OT
133,Broncos,2007,11/25/07,4:16,3:16,@,Bears,12,11,Sun,L 34-37,OT
134,49ers,2007,11/25/07,4:06,2:06,@,Cardinals,12,11,Sun,W 37-31,OT
135,Browns,2007,11/18/07,1:02,1:02,@,Ravens,11,10,Sun,W 33-30,OT
136,Jets,2007,11/18/07,4:05,4:05,,Steelers,11,10,Sun,W 19-16,OT
137,Steelers,2007,11/18/07,4:05,4:05,@,Jets,11,10,Sun,L 16-19,OT
138,Ravens,2007,11/18/07,1:02,1:02,,Browns,11,10,Sun,L 30-33,OT
139,Browns,2007,11/4/07,4:06,4:06,,Seahawks,9,8,Sun,W 33-30,OT
140,Jets,2007,11/4/07,1:02,1:02,,Redskins,9,9,Sun,L 20-23,OT
141,Seahawks,2007,11/4/07,4:06,4:06,@,Browns,9,8,Sun,L 30-33,OT
142,Redskins,2007,11/4/07,1:02,1:02,@,Jets,9,8,Sun,W 23-20,OT
143,Broncos,2007,10/29/07,8:40,6:40,,Packers,8,7,Mon,L 13-19,OT
144,Packers,2007,10/29/07,8:40,6:40,@,Broncos,8,7,Mon,W 19-13,OT
145,Broncos,2007,9/16/07,4:15,2:15,,Raiders,2,2,Sun,W 23-20,OT
146,Lions,2007,9/16/07,4:05,4:05,,Vikings,2,2,Sun,W 20-17,OT
147,Vikings,2007,9/16/07,4:05,4:05,@,Lions,2,2,Sun,L 17-20,OT
148,Raiders,2007,9/16/07,4:15,2:15,@,Broncos,2,2,Sun,L 20-23,OT
149,Dolphins,2007,9/9/07,1:02,1:02,@,Redskins,1,1,Sun,L 13-16,OT
150,Redskins,2007,9/9/07,1:02,1:02,,Dolphins,1,1,Sun,W 16-13,OT
